sex,age,height,weight
M,28,1.828029223,120.846869
female,60,1.655513984,173.6366327
F,60,1.583643232,49.87413426
M,48,1.781112905,98.88744179
male,57,1.806033113,199.8184062
female,51,1.607694116,105.083194
M,14,1.975802857,155.0015245
M,67,1.720098056,85.94337564
M,57,1.647119051,51.62481026
M,44,1.645447774,67.72307515
M,54,1.92971276,147.5981413
M,14,1.687604094,87.98248298
M,58,1.797345331,103.5683659
F,60,1.673025867,92.16775769
M,51,1.755950718,112.5802457
M,40,1.948083199,58.54507034
M,57,1.82656749,57.54567868
M,18,1.757631258,88.71152802
F,31,1.692577045,84.17440016
F,17,1.713224747,100.6385222
male,57,1.734479974,188.2604765
F,26,1.653705277,80.88863224
M,29,1.874601857,87.9989272
F,63,1.637292403,74.75365543
male,28,1.650981121,164.2990249
M,56,1.801666239,71.73463446
F,35,1.731840776,55.07052062
M,46,1.801266108,36.20872485
M,35,1.692624667,94.46486166
M,31,1.963192418,97.55358613
F,55,1.730274767,69.87259136
M,15,1.724464691,82.74051296
F,39,1.584061705,72.90431576
female,53,1.641226093,229.4070643
F,15,1.572200283,68.22061392
M,55,1.783188723,50.05347974
M,30,1.704712536,79.75461611
M,49,1.71043103,83.85598313
M,64,1.781968502,83.54262529
F,51,1.707487455,61.82210176
F,18,1.630536719,98.66999486
F,23,1.633981328,76.59942982
F,31,1.676110696,78.82977193
M,66,1.667321801,57.95635901
female,69,1.610795248,159.596418
F,21,1.54451892,77.30904397
F,57,1.652175494,87.55730377
M,40,1.85105666,106.3112104
F,23,1.623850159,53.04442733
M,55,1.73394351,91.57069732
M,20,1.725694693,97.78022288
M,63,1.700784749,83.89240522
F,33,1.510143854,66.52877157
M,44,1.746639909,106.7832693
M,30,1.835159268,83.70470859
M,39,1.660092691,78.40509293
M,16,1.750794303,89.14783186
female,24,1.748100675,276.1050946
M,37,1.655350841,65.5446359
M,29,1.64333116,77.65310301
F,69,1.698531897,96.42343553
F,18,1.695317064,97.94904026
F,36,1.651219161,75.21142587
F,47,1.650695961,63.68022914
F,67,1.509036285,53.88900151
F,60,1.579687622,70.43129551
M,29,1.721590769,103.9556202
M,57,1.893017942,136.3444513
F,17,1.70257255,107.3858448
F,66,1.769242347,99.44249359
F,63,1.707370358,52.60899063
M,44,1.885110253,109.8694249
F,35,1.478722161,67.49987088
M,64,1.586721846,89.55901956
F,51,1.672699781,93.04292822
M,18,1.788440187,113.8036306
F,35,1.675524283,97.79913544
F,59,1.738050311,74.25337936
M,41,1.838253103,120.0986028
M,22,1.740189669,102.9676584
M,50,1.787261648,71.22678999
F,24,1.646260399,51.94260696
M,30,1.714369614,71.06576148
M,30,1.817410153,89.40576085
M,51,1.835186936,136.0600531
F,55,1.547095892,44.99070511
F,17,1.807283151,78.33713081
F,16,1.648092554,64.7707964
M,65,1.756718896,116.7949441
F,59,1.635748953,82.19617764
F,52,1.710441201,52.15779455
M,23,1.82115504,110.9787747
F,35,1.675605786,114.5148907
M,31,1.697866306,113.7444385
M,37,1.758052606,79.08981139
M,68,1.683261997,103.0959966
F,59,1.533548009,58.08475218
M,53,1.871400493,105.3929308
female,49,1.660236985,220.5372078
F,28,1.736631249,96.38338361
M,70,1.638370995,87.03259873
M,17,1.719287044,91.58178535
F,60,1.850521425,69.33300749
M,63,1.839213211,104.4890733
M,46,1.82522241,103.8419289
F,65,1.599188763,54.13090564
M,57,1.705026042,85.53497293
M,47,1.833720009,95.31470861
F,49,1.753384897,96.08509667
F,54,1.664520042,63.97027884
M,56,1.717723663,57.38819758
F,51,1.699258536,106.4062268
F,68,1.533214214,46.81564743
M,27,1.895497047,124.2109415
M,15,1.687146989,95.1734605
M,22,1.773220744,89.75494671
F,65,1.654234523,90.63060732
F,17,1.746023572,90.01367673
female,21,1.709463835,140.3975552
F,22,1.703460209,79.4800664
F,25,1.670184547,95.40971148
M,70,1.78527421,69.22624274
M,28,1.824777933,67.49854899
F,67,1.666030653,69.53920757
male,25,1.8588418,323.6779114
M,58,1.702952927,77.48680359
M,54,1.795858042,103.761547
male,38,1.772373573,204.4467926
M,59,1.759725514,65.71552737
M,52,1.774548271,93.25174694
F,62,1.690784815,99.65487195
F,49,1.60095218,59.82861465
F,49,1.606109801,95.43183732
M,29,1.666215271,71.28817192
M,33,1.908036987,112.9556602
M,58,1.831059464,91.67112129
F,16,1.662094909,62.09721263
M,43,1.650427482,89.25444787
M,70,1.691343277,93.39498272
F,20,1.57230333,94.63882966
F,35,1.69533095,64.85089514
F,62,1.527728361,63.54542968
female,50,1.744374236,158.9691828
F,54,1.740239119,82.32468222
F,41,1.641497611,93.63130454
M,46,1.989669826,93.9957545
M,22,1.771990663,80.28430095
F,69,1.651827156,50.85390203
M,16,1.834176741,105.8758434
female,57,1.730882904,223.1143851
F,18,1.681059264,84.52142927
M,49,1.899323222,68.45149332
F,68,1.658094509,89.10519774
F,65,1.711201294,108.9149401
M,25,1.748617453,97.56308467
F,29,1.708375399,78.67314169
F,31,1.564307023,48.11706558
F,25,1.614093765,73.96320129
M,37,1.892068797,109.629748
F,22,1.64612369,62.0642763
F,61,1.57856907,75.65914264
F,53,1.650498921,61.77443576
M,26,1.829857352,85.22325435
F,19,1.776000681,116.1303377
F,44,1.742687255,78.47539445
female,67,1.695537078,172.1766913
F,64,1.644766136,88.21762292
F,29,1.644299335,62.50672905
F,63,1.683470036,100.8287719
M,53,1.795997155,90.4838597
F,41,1.688890358,67.29032545
F,46,1.62894403,55.17822238
M,57,1.717013853,61.05976474
F,45,1.727978616,57.22503369
F,17,1.787011432,91.79330758
F,41,1.542035804,56.61370383
M,40,1.717099366,108.8171689
M,65,1.775661646,93.56942851
F,64,1.653202279,76.29977201
female,50,1.549580216,161.0419611
F,59,1.734823685,93.32174366
F,31,1.785076621,76.09392888
M,61,1.86469465,108.0261246
F,53,1.642775838,69.76752156
F,70,1.593859148,35.33516838
M,48,1.863695453,110.2559608
F,48,1.466270438,51.67422588
F,63,1.666230258,73.61910471
F,42,1.594700996,81.63031695
M,57,1.773928744,73.19807822
M,32,1.706247678,90.61175639
M,46,1.78999621,90.61397148
F,36,1.642737478,87.8398943
F,50,1.498039098,69.7327693
M,26,1.675454037,70.03285096
M,59,1.706394495,87.07544335
F,48,1.609256746,62.00149473
M,35,1.83039053,89.41974631
F,15,1.664727721,106.0546249
M,39,1.856619762,85.02911521
F,57,1.60293732,62.25295486
F,19,1.617850941,59.84678736
M,25,1.657956569,48.63600225
M,44,1.847386551,80.9646147
M,48,1.840943669,124.8725721
F,14,1.655711657,60.1300091
F,61,1.522391994,67.98690937
M,22,1.832475262,54.31980268
M,26,1.721661716,93.75105525
M,29,1.816442067,119.8017349
F,32,1.584476698,92.93478613
M,24,1.824378247,106.4283942
F,26,1.63845815,33.00743544
F,39,1.617574667,74.43872289
M,62,1.782011797,58.25953145
F,26,1.59825498,83.23997861
M,16,1.920739833,51.03230242
F,60,1.60271218,85.33948944
M,47,1.736663421,66.77476001
F,32,1.718929062,85.22486987
M,23,1.836121795,67.21921871
M,46,1.860346986,110.4439143
M,23,1.9043919,68.67545541
F,16,1.48131728,70.00752397
M,25,1.742094682,114.0859002
M,18,1.709716157,94.00788199
M,46,1.682088761,84.89349905
F,45,1.67370635,74.00737251
F,23,1.663684923,86.95158576
F,17,1.675118998,88.50827461
F,60,1.530404599,73.50788693
M,42,1.889957295,111.8503749
M,38,1.793121554,110.1682947
F,27,1.573734084,69.43393474
F,43,1.611380044,73.41405006
F,61,1.63143563,80.22170492
F,50,1.67830288,83.55258753
F,41,1.528563099,65.46563919
M,69,1.760204339,91.11694467
F,50,1.639087021,63.5409032
F,57,1.541098097,42.86647569
M,62,1.679154556,86.87640568
F,26,1.6224452,71.52167423
M,37,1.830082384,98.67681203
male,56,1.832145513,264.6741377
F,45,1.547972724,74.88904349
F,38,1.638914794,75.80029529
M,43,1.779745309,73.91663546
F,15,1.835794331,110.6955417
M,53,1.708557627,112.0441928
F,14,1.521814341,87.36718495
M,27,1.762137621,61.36823108
M,30,1.711142209,71.56808744
F,36,1.609385698,76.58681897
F,65,1.616195671,78.15650897
M,33,1.761995252,90.02051812
F,27,1.623044588,69.6578002
F,17,1.577665389,92.5583472
F,14,1.624183425,57.47069095
female,19,1.629759919,175.8572379
F,46,1.608144666,84.99730282
M,32,1.876663408,53.95229949
M,53,1.922543421,108.7232962
F,28,1.746601298,58.48498463
F,20,1.652387356,74.79323158
M,50,1.803448602,81.52213544
M,37,1.758140508,85.94894966
M,60,1.787700942,95.92007842
F,32,1.697004942,60.52380135
M,25,1.640785386,66.59369046
F,38,1.612185534,73.64043583
F,32,1.566052668,62.25782281
M,20,1.750410744,99.38518808
M,60,1.757892729,63.65155756
M,17,1.836612838,78.80374871
F,30,1.594197501,62.8608191
F,64,1.598348079,47.19617309
F,18,1.619242454,98.69110116
M,43,1.69220261,72.73186355
M,20,1.758499439,140.1992697
female,30,1.639441695,124.2494472
F,58,1.685160472,68.05250661
F,20,1.612348208,68.33929554
M,48,1.753878793,86.96758557
F,37,1.625314363,63.62491191
female,48,1.736726304,219.7050017
M,14,1.832013793,112.3344479
M,34,1.87122367,97.76348947
F,60,1.673607007,79.07008855
F,62,1.618324822,63.10079446
M,16,1.691594183,97.1370409
M,54,1.861493082,66.78584717
F,38,1.699305968,86.30319697
M,57,1.959706905,113.8637863
M,70,1.796210325,64.71537887
F,46,1.68821715,103.0834696
F,63,1.530539631,69.52043431
M,54,1.733582261,67.82813863
M,28,1.701300522,72.63870791
M,43,1.895490712,79.72567851
M,46,1.692841177,76.55187196
M,62,1.780595644,95.55432045
F,52,1.735529474,89.31163982
M,56,1.657915259,63.71534522
F,42,1.548675611,54.63180091
M,39,1.818110678,88.49507303
F,41,1.629776862,64.62368115
F,37,1.653118373,54.26147301
M,54,1.868365952,96.56974583
M,40,1.694387694,104.1940996
F,51,1.64629499,96.11231925
M,58,1.772394027,86.48853135
female,60,1.640121278,125.5349576
F,31,1.695358309,111.8877234
M,31,1.787404458,64.64509879
M,15,1.668349752,41.40860199
F,54,1.704949551,60.53707479
female,45,1.5921032,192.6505747
M,29,1.790843918,102.0233143
F,20,1.702228454,92.93054977
F,43,1.693128799,80.76170553
F,41,1.695187637,122.3244812
F,53,1.539849326,58.14214865
M,27,1.757196167,82.07076509
M,41,1.808161819,83.03943854
F,20,1.716742548,61.79682741
M,28,1.73974088,101.0118131
M,15,1.76299129,103.5138977
F,26,1.664207321,63.21178424
F,39,1.808795119,106.1569178
F,31,1.563901259,89.37068372
M,44,1.715889278,90.43529701
